Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Eswatini,4.1,47623.0,3.2,0.9
Senegal,4.1,664826.0,3.2,0.9
Ghana,4.1,1232876.0,2.8,1.3
Vietnam,3.7,3593970.0,3.5,0.2
Solomon Islands,3.2,21742.0,2.7,0.6
Mauritania,3.1,142362.0,3.0,0.2
Ivory Coast,2.9,749368.0,2.9,
Djibouti,2.8,26796.0,1.3,0.9
Kyrgyzstan,2.7,173700.0,1.5,1.1
Nicaragua,,,,
Kenya,2.5,1334749.0,1.9,0.6
Vanuatu,2.5,7462.0,2.5,
Malawi,2.3,428407.0,2.1,0.2
Gabon,2.3,49346.0,1.7,0.5
Afghanistan,2.2,835694.0,1.7,0.5
Armenia,2.2,64293.0,1.8,0.4
Iraq,2.0,805363.0,1.4,0.7
Uganda,1.9,854443.0,1.9,
Republic of the Congo,1.9,102642.0,1.9,
Ethiopia,1.8,1989297.0,1.7,
Gambia,1.7,41077.0,1.3,0.4
Lesotho,,,,
Nigeria,1.7,3397472.0,1.1,0.6
Liberia,1.7,82212.0,1.6,0.1
Central African Republic,1.6,78137.0,1.6,
Sudan,1.6,671423.0,1.3,0.3
Mozambique,1.4,438382.0,1.1,0.3
Tajikistan,1.4,132075.0,1.2,0.2
Somalia,1.3,204176.0,0.9,0.4
Sierra Leone,1.2,97315.0,1.1,0.2
Guinea-Bissau,1.2,22883.0,1.1,0.1
Niger,1.1,255587.0,1.0,0.1
Yemen,0.9,268753.0,0.9,
Mali,0.9,179634.0,0.7,0.2
Zambia,0.8,151205.0,0.8,0.1
Madagascar,0.7,197001.0,0.7,
Turkmenistan,,,,
Syria,0.6,108276.0,0.6,0.0
Papua New Guinea,0.5,44327.0,0.5,
Cameroon,0.4,110324.0,0.3,0.1
South Sudan,0.4,44920.0,0.4,0.0
Benin,0.4,46108.0,0.3,0.1
Burkina Faso,0.1,25833.0,0.1,
Congo,0.1,59443.0,0.1,0.0
Chad,0.1,8981.0,0.1,
